Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,UTA_2004,NB,UTA_2004_NB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     39.00,     15.00,      1.93,      0.90,         0,         0,         0,      1.03,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2080_004.2,WB,2080_004.2_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     43.00,     15.00,      0.39,         0,      0.39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2080_003.9,WB,2080_003.9_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     45.00,     15.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2093_002.7,SB,2093_002.7_SB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     51.00,     15.00,      0.01,         0,      0.01,         0,         0,         0,         0,      0.82,      0.80,      0.02,         0,         0,         0,         0
All,ok,drive,2093_002.4,SB,2093_002.4_SB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     53.00,     15.00,      0.09,      0.09,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0151_003.5,WB,0151_003.5_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     54.00,     15.00,      0.05,      0.05,         0,         0,         0,         0,         0,      0.30,      0.27,      0.03,         0,         0,         0,         0
All,ok,drive,0151_003.0,WB,0151_003.0_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     56.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0151_002.5,WB,0151_002.5_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     58.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      1.44,      0.57,      0.10,         0,         0,      0.77,         0
All,ok,drive,0151_002.0,WB,0151_002.0_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     60.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.66,      0.42,      0.09,         0,         0,      0.15,         0
All,ok,drive,0151_001.5,WB,0151_001.5_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     62.00,     15.00,      0.14,      0.14,         0,         0,         0,         0,         0,      0.36,      0.26,      0.03,         0,         0,      0.07,         0
All,ok,drive,0151_001.0,WB,0151_001.0_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     64.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.03,         0,         0,         0,      0.01,         0
All,ok,drive,0151_000.5,WB,0151_000.5_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     66.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.02,         0,         0,         0,      0.01,         0
All,ok,drive,0151_000.3,WB,0151_000.3_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     69.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.15,      0.11,      0.02,         0,         0,      0.02,         0
All,ok,drive,2071_003.6,WB,2071_003.6_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     79.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.12,      0.01,         0,         0,         0,         0
All,ok,drive,2071_003.3,WB,2071_003.3_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     81.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,2071_002.8,WB,2071_002.8_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     84.00,     15.00,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2071_002.3,WB,2071_002.3_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     87.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.64,      0.54,      0.10,         0,         0,         0,         0
All,ok,drive,undefined,SB,undefined,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,      1.00,     15.00,      5.70,      4.01,         0,         0,         0,      1.69,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2060_002.8,WB,2060_002.8_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,      3.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.02,         0,         0,         0,         0,      0.02,         0
All,ok,drive,undefined,EB,undefined,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     18.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.52,      0.27,         0,         0,         0,      0.25,         0
All,ok,drive,WFRC_8122,EB,WFRC_8122_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     21.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      2.12,      1.25,         0,         0,         0,      0.87,         0
All,ok,drive,WFRC_8009,NB,WFRC_8009_NB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     27.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.54,      0.29,         0,         0,         0,      0.25,         0
All,ok,drive,2030_010.6,EB,2030_010.6_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     30.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,      0.01,         0
All,ok,drive,0071_000.0,EB,0071_000.0_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     35.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.47,      0.26,         0,         0,         0,      0.21,         0
All,ok,drive,0071_000.4,EB,0071_000.4_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     38.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.16,      0.10,         0,         0,         0,      0.06,         0
All,ok,drive,0071_001.4,EB,0071_001.4_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     42.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.19,      0.16,         0,         0,         0,      0.03,         0
All,ok,drive,0071_002.4,EB,0071_002.4_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     44.00,     15.00,      0.16,      0.16,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,0071_002.9,EB,0071_002.9_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     49.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.27,      0.27,         0,         0,         0,         0,         0
All,ok,drive,0071_004.1,EB,0071_004.1_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     52.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.46,      0.46,         0,         0,         0,         0,         0
All,ok,drive,0071_004.7,EB,0071_004.7_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     53.00,     15.00,      0.03,      0.03,         0,         0,         0,         0,         0,      0.27,      0.27,         0,         0,         0,         0,         0
All,ok,drive,0071_005.1,EB,0071_005.1_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     57.00,     15.00,      0.12,         0,      0.12,         0,         0,         0,         0,      0.32,      0.32,         0,         0,         0,         0,         0
All,ok,drive,0071_005.5,EB,0071_005.5_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     59.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
All,ok,drive,2062_000.0,EB,2062_000.0_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     63.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.14,      0.06,         0,         0,         0,         0
All,ok,drive,2062_000.5,EB,2062_000.5_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     65.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.07,      0.04,         0,         0,         0,         0
All,ok,drive,2072_000.8,WB,2072_000.8_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     71.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.03,      0.02,         0,         0,         0,         0
All,ok,drive,UTA_2001,EB,UTA_2001_EB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     73.00,     15.00,      1.90,      1.79,         0,         0,         0,      0.11,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0071_005.1,WB,0071_005.1_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     89.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0071_004.1,WB,0071_004.1_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,     94.00,     15.00,      0.02,      0.02,         0,         0,         0,         0,         0,      0.56,      0.56,         0,         0,         0,         0,         0
All,ok,drive,0071_002.9,WB,0071_002.9_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    100.00,     15.00,      0.38,      0.05,      0.33,         0,         0,         0,         0,      0.35,      0.35,         0,         0,         0,         0,         0
