Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,3032_001.0,WB,3032_001.0_WB,      4.00,M831_WPr,M831_WPr,      1.00,     26.00,     30.00,      1.31,      1.31,         0,         0,         0,         0,         0,      3.03,      3.03,         0,         0,         0,         0,         0
All,ok,drive,3030_000.0,WB,3030_000.0_WB,      4.00,M831_WPr,M831_WPr,      1.00,     32.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,0189_002.6,NB,0189_002.6_NB,      4.00,M831_WPr,M831_WPr,      1.00,     35.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0189_002.7,NB,0189_002.7_NB,      4.00,M831_WPr,M831_WPr,      1.00,     37.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,0189_003.1,NB,0189_003.1_NB,      4.00,M831_WPr,M831_WPr,      1.00,     40.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,0265_004.1,NB,0265_004.1_NB,      4.00,M831_WPr,M831_WPr,      1.00,     42.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,3042_002.5,NB,3042_002.5_NB,      4.00,M831_WPr,M831_WPr,      1.00,     44.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,3020_003.5,WB,3020_003.5_WB,      4.00,M831_WPr,M831_WPr,      1.00,     46.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.13,         0,         0,         0,         0,         0
All,ok,drive,3012_001.5,SB,3012_001.5_SB,      4.00,M831_WPr,M831_WPr,      1.00,     50.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,3012_001.3,WB,3012_001.3_WB,      4.00,M831_WPr,M831_WPr,      1.00,     51.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,3012_001.1,SB,3012_001.1_SB,      4.00,M831_WPr,M831_WPr,      1.00,     54.00,     30.00,      0.01,      0.01,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,3012_000.5,WB,3012_000.5_WB,      4.00,M831_WPr,M831_WPr,      1.00,     57.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,3012_000.0,WB,3012_000.0_WB,      4.00,M831_WPr,M831_WPr,      1.00,     60.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.05,         0,         0,         0,         0,      0.02
All,ok,drive,2972_000.2,NB,2972_000.2_NB,      4.00,M831_WPr,M831_WPr,      1.00,     63.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2972_000.5,NB,2972_000.5_NB,      4.00,M831_WPr,M831_WPr,      1.00,     66.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2972_001.0,NB,2972_001.0_NB,      4.00,M831_WPr,M831_WPr,      1.00,     69.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0265_001.2,WB,0265_001.2_WB,      4.00,M831_WPr,M831_WPr,      1.00,     71.00,     30.00,      1.28,      1.28,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,undefined,WB,undefined,      4.00,M831_WPr,M831_WPr,      1.00,     73.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,2975_002.4,NB,2975_002.4_NB,      4.00,M831_WPr,M831_WPr,      1.00,     75.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,MAG_6307,NB,MAG_6307_NB,      4.00,M831_WPr,M831_WPr,      1.00,     93.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.92,      1.92,         0,         0,         0,         0,         0
All,ok,drive,MAG_6307,SB,MAG_6307_SB,      4.00,M831_WPr,M831_WPr,      2.00,      1.00,     30.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,MAG_6308,SB,MAG_6308_SB,      4.00,M831_WPr,M831_WPr,      2.00,      8.00,     30.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0265_001.2,EB,0265_001.2_EB,      4.00,M831_WPr,M831_WPr,      2.00,     24.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2972_001.0,SB,2972_001.0_SB,      4.00,M831_WPr,M831_WPr,      2.00,     25.00,     30.00,      0.56,      0.54,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2972_000.0,SB,2972_000.0_SB,      4.00,M831_WPr,M831_WPr,      2.00,     32.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,      0.01,         0,         0,         0
All,ok,drive,3012_000.0,EB,3012_000.0_EB,      4.00,M831_WPr,M831_WPr,      2.00,     35.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,3012_000.5,EB,3012_000.5_EB,      4.00,M831_WPr,M831_WPr,      2.00,     38.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,3012_001.3,EB,3012_001.3_EB,      4.00,M831_WPr,M831_WPr,      2.00,     41.00,     30.00,      0.05,      0.05,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,3012_001.5,NB,3012_001.5_NB,      4.00,M831_WPr,M831_WPr,      2.00,     45.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,3042_002.5,SB,3042_002.5_SB,      4.00,M831_WPr,M831_WPr,      2.00,     51.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,0189_003.1,SB,0189_003.1_SB,      4.00,M831_WPr,M831_WPr,      2.00,     55.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,0189_002.7,SB,0189_002.7_SB,      4.00,M831_WPr,M831_WPr,      2.00,     58.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,3030_000.0,EB,3030_000.0_EB,      4.00,M831_WPr,M831_WPr,      2.00,     65.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,3032_001.0,EB,3032_001.0_EB,      4.00,M831_WPr,M831_WPr,      2.00,     69.00,     30.00,      1.10,      1.07,         0,      0.03,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,3020_000.6,SB,3020_000.6_SB,      4.00,M831_WPr,M831_WPr,      2.00,     77.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.02,         0,      0.02,         0,         0,         0
All,ok,drive,3020_000.3,SB,3020_000.3_SB,      4.00,M831_WPr,M831_WPr,      2.00,     79.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.03,         0,      0.01,         0,         0,         0
All,ok,drive,2999_003.8,WB,2999_003.8_WB,      4.00,M831_WPr,M831_WPr,      2.00,     80.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
